Concentraciones horarias para PM25 red MXC 2019

Fecha,Hora,COB,UABC
2019-01-01,1,94.000000,50.000000
2019-01-01,2,148.000000,43.000000
2019-01-01,3,49.000000,22.000000
2019-01-01,4,61.000000,15.000000
2019-01-01,5,120.000000,18.000000
2019-01-01,6,169.000000,34.000000
2019-01-01,7,112.000000,67.000000
2019-01-01,8,119.000000,104.000000
2019-01-01,9,70.000000,47.000000
2019-01-01,10,13.000000,6.000000
2019-01-01,11,10.000000,6.000000
2019-01-01,12,6.000000,3.000000
2019-01-01,13,4.000000,0.000000
2019-01-01,14,5.000000,0.000000
2019-01-01,15,7.000000,1.000000
2019-01-01,16,5.000000,2.000000
2019-01-01,17,6.000000,2.000000
2019-01-01,18,7.000000,4.000000
2019-01-01,19,23.000000,4.000000
2019-01-01,20,15.000000,7.000000
2019-01-01,21,18.000000,9.000000
2019-01-01,22,120.000000,13.000000
2019-01-01,23,133.000000,20.000000
2019-01-01,24,101.000000,31.000000
2019-01-02,1,37.000000,33.000000
2019-01-02,2,37.000000,31.000000
2019-01-02,3,24.000000,19.000000
2019-01-02,4,16.000000,14.000000
2019-01-02,5,10.000000,12.000000
2019-01-02,6,16.000000,10.000000
2019-01-02,7,13.000000,11.000000
2019-01-02,8,14.000000,10.000000
2019-01-02,9,13.000000,7.000000
2019-01-02,10,8.000000,17.000000
2019-01-02,11,7.000000,8.000000
2019-01-02,12,7.000000,5.000000
2019-01-02,13,5.000000,3.000000
2019-01-02,14,6.000000,2.000000
2019-01-02,15,4.000000,2.000000
2019-01-02,16,4.000000,1.000000
2019-01-02,17,7.000000,1.000000
2019-01-02,18,7.000000,2.000000
2019-01-02,19,25.000000,1.000000
2019-01-02,20,48.000000,19.000000
2019-01-02,21,79.000000,40.000000
2019-01-02,22,73.000000,65.000000
2019-01-02,23,112.000000,47.000000
2019-01-02,24,98.000000,54.000000
2019-01-03,1,98.000000,60.000000
2019-01-03,2,103.000000,53.000000
2019-01-03,3,119.000000,49.000000
2019-01-03,4,104.000000,59.000000
2019-01-03,5,71.000000,52.000000
2019-01-03,6,72.000000,44.000000
2019-01-03,7,67.000000,51.000000
2019-01-03,8,61.000000,62.000000
2019-01-03,9,76.000000,62.000000
2019-01-03,10,18.000000,65.000000
2019-01-03,11,14.000000,22.000000
2019-01-03,12,10.000000,4.000000
2019-01-03,13,13.000000,8.000000
2019-01-03,14,8.000000,11.000000
2019-01-03,15,5.000000,6.000000
2019-01-03,16,8.000000,4.000000
2019-01-03,17,8.000000,3.000000
2019-01-03,18,9.000000,5.000000
2019-01-03,19,24.000000,7.000000
2019-01-03,20,67.000000,20.000000
2019-01-03,21,85.000000,50.000000
2019-01-03,22,117.000000,63.000000
2019-01-03,23,133.000000,56.000000
2019-01-03,24,135.000000,78.000000
2019-01-04,1,179.000000,49.000000
2019-01-04,2,127.000000,62.000000
2019-01-04,3,103.000000,98.000000
2019-01-04,4,96.000000,94.000000
2019-01-04,5,83.000000,67.000000
2019-01-04,6,69.000000,29.000000
2019-01-04,7,19.000000,27.000000
2019-01-04,8,18.000000,20.000000
2019-01-04,9,43.000000,22.000000
2019-01-04,10,36.000000,21.000000
2019-01-04,11,22.000000,23.000000
2019-01-04,12,13.000000,13.000000
2019-01-04,13,8.000000,8.000000
2019-01-04,14,8.000000,6.000000
2019-01-04,15,6.000000,4.000000
2019-01-04,16,5.000000,6.000000
2019-01-04,17,7.000000,6.000000
2019-01-04,18,9.000000,4.000000
2019-01-04,19,17.000000,4.000000
2019-01-04,20,53.000000,29.000000
2019-01-04,21,90.000000,53.000000
2019-01-04,22,123.000000,57.000000
2019-01-04,23,162.000000,86.000000
2019-01-04,24,184.000000,75.000000
2019-01-05,1,151.000000,103.000000
2019-01-05,2,105.000000,91.000000
2019-01-05,3,99.000000,69.000000
2019-01-05,4,92.000000,40.000000
2019-01-05,5,114.000000,31.000000
2019-01-05,6,131.000000,53.000000
2019-01-05,7,123.000000,46.000000
2019-01-05,8,114.000000,32.000000
2019-01-05,9,139.000000,26.000000
2019-01-05,10,117.000000,30.000000
2019-01-05,11,117.000000,31.000000
2019-01-05,12,55.000000,30.000000
2019-01-05,13,101.000000,15.000000
2019-01-05,14,62.000000,25.000000
2019-01-05,15,26.000000,30.000000
2019-01-05,16,43.000000,37.000000
2019-01-05,17,32.000000,56.000000
2019-01-05,18,29.000000,40.000000
2019-01-05,19,27.000000,26.000000
2019-01-05,20,24.000000,20.000000
2019-01-05,21,26.000000,17.000000
2019-01-05,22,19.000000,24.000000
2019-01-05,23,21.000000,25.000000
2019-01-05,24,14.000000,21.000000
2019-01-06,1,13.000000,13.000000
2019-01-06,2,14.000000,13.000000
2019-01-06,3,18.000000,17.000000
2019-01-06,4,22.000000,22.000000
2019-01-06,5,19.000000,24.000000
2019-01-06,6,23.000000,25.000000
2019-01-06,7,28.000000,24.000000
2019-01-06,8,33.000000,32.000000
2019-01-06,9,36.000000,37.000000
2019-01-06,10,38.000000,36.000000
2019-01-06,11,36.000000,43.000000
2019-01-06,12,32.000000,25.000000
2019-01-06,13,39.000000,26.000000
2019-01-06,14,35.000000,28.000000
2019-01-06,15,24.000000,33.000000
2019-01-06,16,23.000000,37.000000
2019-01-06,17,23.000000,30.000000
2019-01-06,18,23.000000,35.000000
2019-01-06,19,43.000000,37.000000
2019-01-06,20,60.000000,49.000000
2019-01-06,21,61.000000,45.000000
2019-01-06,22,80.000000,47.000000
2019-01-06,23,66.000000,41.000000
2019-01-06,24,41.000000,31.000000
2019-01-07,1,35.000000,30.000000
2019-01-07,2,42.000000,47.000000
2019-01-07,3,52.000000,70.000000
2019-01-07,4,56.000000,69.000000
2019-01-07,5,68.000000,67.000000
2019-01-07,6,73.000000,76.000000
2019-01-07,7,24.000000,35.000000
2019-01-07,8,15.000000,13.000000
2019-01-07,9,11.000000,14.000000
2019-01-07,10,19.000000,16.000000
2019-01-07,11,15.000000,13.000000
2019-01-07,12,16.000000,9.000000
2019-01-07,13,20.000000,13.000000
2019-01-07,14,25.000000,15.000000
2019-01-07,15,26.000000,16.000000
2019-01-07,16,27.000000,24.000000
2019-01-07,17,25.000000,26.000000
2019-01-07,18,44.000000,20.000000
2019-01-07,19,62.000000,22.000000
2019-01-07,20,63.000000,50.000000
2019-01-07,21,51.000000,70.000000
2019-01-07,22,55.000000,26.000000
2019-01-07,23,78.000000,27.000000
2019-01-07,24,46.000000,41.000000
2019-01-08,1,31.000000,55.000000
2019-01-08,2,19.000000,29.000000
2019-01-08,3,22.000000,26.000000
2019-01-08,4,21.000000,20.000000
2019-01-08,5,22.000000,17.000000
2019-01-08,6,22.000000,23.000000
2019-01-08,7,22.000000,25.000000
2019-01-08,8,26.000000,29.000000
2019-01-08,9,42.000000,44.000000
2019-01-08,10,35.000000,25.000000
2019-01-08,11,17.000000,20.000000
2019-01-08,12,7.000000,8.000000
2019-01-08,13,9.000000,6.000000
2019-01-08,14,9.000000,10.000000
2019-01-08,15,7.000000,8.000000
2019-01-08,16,7.000000,11.000000
2019-01-08,17,5.000000,11.000000
2019-01-08,18,11.000000,6.000000
2019-01-08,19,27.000000,7.000000
2019-01-08,20,34.000000,14.000000
2019-01-08,21,89.000000,39.000000
2019-01-08,22,101.000000,51.000000
2019-01-08,23,94.000000,56.000000
2019-01-08,24,112.000000,83.000000
2019-01-09,1,65.000000,73.000000
2019-01-09,2,55.000000,46.000000
2019-01-09,3,51.000000,47.000000
2019-01-09,4,58.000000,42.000000
2019-01-09,5,76.000000,32.000000
2019-01-09,6,64.000000,54.000000
2019-01-09,7,62.000000,33.000000
2019-01-09,8,89.000000,43.000000
2019-01-09,9,44.000000,17.000000
2019-01-09,10,38.000000,19.000000
2019-01-09,11,21.000000,20.000000
2019-01-09,12,10.000000,15.000000
2019-01-09,13,11.000000,4.000000
2019-01-09,14,8.000000,15.000000
2019-01-09,15,10.000000,9.000000
2019-01-09,16,10.000000,5.000000
2019-01-09,17,9.000000,12.000000
2019-01-09,18,39.000000,10.000000
2019-01-09,19,34.000000,12.000000
2019-01-09,20,46.000000,21.000000
2019-01-09,21,42.000000,25.000000
2019-01-09,22,63.000000,25.000000
2019-01-09,23,37.000000,15.000000
2019-01-09,24,33.000000,20.000000
2019-01-10,1,58.000000,35.000000
2019-01-10,2,36.000000,41.000000
2019-01-10,3,44.000000,39.000000
2019-01-10,4,55.000000,52.000000
2019-01-10,5,90.000000,39.000000
2019-01-10,6,58.000000,40.000000
2019-01-10,7,44.000000,25.000000
2019-01-10,8,64.000000,27.000000
2019-01-10,9,70.000000,51.000000
2019-01-10,10,42.000000,49.000000
2019-01-10,11,24.000000,26.000000
2019-01-10,12,19.000000,18.000000
2019-01-10,13,20.000000,17.000000
2019-01-10,14,18.000000,9.000000
2019-01-10,15,15.000000,12.000000
2019-01-10,16,12.000000,9.000000
2019-01-10,17,13.000000,8.000000
2019-01-10,18,17.000000,10.000000
2019-01-10,19,28.000000,9.000000
2019-01-10,20,49.000000,24.000000
2019-01-10,21,61.000000,49.000000
2019-01-10,22,75.000000,68.000000
2019-01-10,23,86.000000,129.000000
2019-01-10,24,121.000000,131.000000
2019-01-11,1,119.000000,103.000000
2019-01-11,2,113.000000,108.000000
2019-01-11,3,131.000000,116.000000
2019-01-11,4,129.000000,138.000000
2019-01-11,5,141.000000,123.000000
2019-01-11,6,144.000000,90.000000
2019-01-11,7,135.000000,90.000000
2019-01-11,8,137.000000,79.000000
2019-01-11,9,158.000000,88.000000
2019-01-11,10,135.000000,96.000000
2019-01-11,11,44.000000,84.000000
2019-01-11,12,32.000000,49.000000
2019-01-11,13,23.000000,32.000000
2019-01-11,14,26.000000,25.000000
2019-01-11,15,31.000000,31.000000
2019-01-11,16,27.000000,30.000000
2019-01-11,17,41.000000,30.000000
2019-01-11,18,49.000000,30.000000
2019-01-11,19,60.000000,39.000000
2019-01-11,20,92.000000,44.000000
2019-01-11,21,101.000000,64.000000
2019-01-11,22,119.000000,75.000000
2019-01-11,23,57.000000,80.000000
2019-01-11,24,62.000000,48.000000
2019-01-12,1,113.000000,39.000000
2019-01-12,2,121.000000,58.000000
2019-01-12,3,80.000000,61.000000
2019-01-12,4,50.000000,81.000000
2019-01-12,5,65.000000,73.000000
2019-01-12,6,80.000000,96.000000
2019-01-12,7,100.000000,65.000000
2019-01-12,8,53.000000,78.000000
2019-01-12,9,35.000000,82.000000
2019-01-12,10,30.000000,86.000000
2019-01-12,11,28.000000,53.000000
2019-01-12,12,38.000000,37.000000
2019-01-12,13,28.000000,45.000000
2019-01-12,14,20.000000,29.000000
2019-01-12,15,23.000000,20.000000
2019-01-12,16,21.000000,17.000000
2019-01-12,17,28.000000,15.000000
2019-01-12,18,19.000000,17.000000
2019-01-12,19,19.000000,24.000000
2019-01-12,20,26.000000,27.000000
2019-01-12,21,19.000000,26.000000
2019-01-12,22,22.000000,21.000000
2019-01-12,23,30.000000,21.000000
2019-01-12,24,38.000000,16.000000
2019-01-13,1,50.000000,29.000000
2019-01-13,2,52.000000,45.000000
2019-01-13,3,39.000000,47.000000
2019-01-13,4,10.000000,48.000000
2019-01-13,5,10.000000,30.000000
2019-01-13,6,30.000000,20.000000
2019-01-13,7,25.000000,16.000000
2019-01-13,8,23.000000,9.000000
2019-01-13,9,20.000000,17.000000
2019-01-13,10,26.000000,25.000000
2019-01-13,11,10.000000,10.000000
2019-01-13,12,9.000000,8.000000
2019-01-13,13,7.000000,6.000000
2019-01-13,14,11.000000,10.000000
2019-01-13,15,9.000000,8.000000
2019-01-13,16,7.000000,5.000000
2019-01-13,17,10.000000,5.000000
2019-01-13,18,9.000000,6.000000
2019-01-13,19,14.000000,4.000000
2019-01-13,20,44.000000,8.000000
2019-01-13,21,49.000000,25.000000
2019-01-13,22,47.000000,27.000000
2019-01-13,23,25.000000,18.000000
2019-01-13,24,40.000000,13.000000
2019-01-14,1,75.000000,18.000000
2019-01-14,2,89.000000,29.000000
2019-01-14,3,67.000000,67.000000
2019-01-14,4,54.000000,53.000000
2019-01-14,5,39.000000,28.000000
2019-01-14,6,50.000000,22.000000
2019-01-14,7,52.000000,34.000000
2019-01-14,8,53.000000,23.000000
2019-01-14,9,34.000000,35.000000
2019-01-14,10,36.000000,27.000000
2019-01-14,11,10.000000,18.000000
2019-01-14,12,11.000000,17.000000
2019-01-14,13,15.000000,11.000000
2019-01-14,14,12.000000,16.000000
2019-01-14,15,8.000000,18.000000
2019-01-14,16,7.000000,8.000000
2019-01-14,17,10.000000,12.000000
2019-01-14,18,17.000000,10.000000
2019-01-14,19,14.000000,13.000000
2019-01-14,20,10.000000,12.000000
2019-01-14,21,12.000000,10.000000
2019-01-14,22,13.000000,9.000000
2019-01-14,23,11.000000,9.000000
2019-01-14,24,11.000000,8.000000
2019-01-15,1,14.000000,8.000000
2019-01-15,2,11.000000,17.000000
2019-01-15,3,17.000000,15.000000
2019-01-15,4,23.000000,10.000000
2019-01-15,5,22.000000,11.000000
2019-01-15,6,21.000000,14.000000
2019-01-15,7,20.000000,15.000000
2019-01-15,8,24.000000,17.000000
2019-01-15,9,30.000000,21.000000
2019-01-15,10,27.000000,19.000000
2019-01-15,11,11.000000,22.000000
2019-01-15,12,15.000000,16.000000
2019-01-15,13,15.000000,15.000000
2019-01-15,14,11.000000,14.000000
2019-01-15,15,14.000000,12.000000
2019-01-15,16,11.000000,11.000000
2019-01-15,17,13.000000,10.000000
2019-01-15,18,11.000000,8.000000
2019-01-15,19,16.000000,13.000000
2019-01-15,20,31.000000,23.000000
2019-01-15,21,27.000000,28.000000
2019-01-15,22,35.000000,34.000000
2019-01-15,23,39.000000,42.000000
2019-01-15,24,50.000000,41.000000
2019-01-16,1,45.000000,39.000000
2019-01-16,2,55.000000,40.000000
2019-01-16,3,44.000000,40.000000
2019-01-16,4,41.000000,18.000000
2019-01-16,5,19.000000,18.000000
2019-01-16,6,25.000000,17.000000
2019-01-16,7,25.000000,16.000000
2019-01-16,8,20.000000,16.000000
2019-01-16,9,19.000000,12.000000
2019-01-16,10,22.000000,10.000000
2019-01-16,11,28.000000,17.000000
2019-01-16,12,32.000000,17.000000
2019-01-16,13,43.000000,32.000000
2019-01-16,14,38.000000,45.000000
2019-01-16,15,45.000000,53.000000
2019-01-16,16,53.000000,53.000000
2019-01-16,17,63.000000,49.000000
2019-01-16,18,33.000000,31.000000
2019-01-16,19,35.000000,31.000000
2019-01-16,20,29.000000,30.000000
2019-01-16,21,31.000000,28.000000
2019-01-16,22,39.000000,27.000000
2019-01-16,23,34.000000,30.000000
2019-01-16,24,34.000000,28.000000
2019-01-17,1,44.000000,36.000000
2019-01-17,2,37.000000,37.000000
2019-01-17,3,32.000000,50.000000
2019-01-17,4,25.000000,58.000000
2019-01-17,5,29.000000,34.000000
2019-01-17,6,39.000000,33.000000
2019-01-17,7,43.000000,31.000000
2019-01-17,8,54.000000,35.000000
2019-01-17,9,40.000000,59.000000
2019-01-17,10,45.000000,68.000000
2019-01-17,11,51.000000,49.000000
2019-01-17,12,49.000000,81.000000
2019-01-17,13,49.000000,38.000000
2019-01-17,14,41.000000,38.000000
2019-01-17,15,41.000000,45.000000
2019-01-17,16,33.000000,23.000000
2019-01-17,17,38.000000,26.000000
2019-01-17,18,34.000000,26.000000
2019-01-17,19,28.000000,29.000000
2019-01-17,20,38.000000,36.000000
2019-01-17,21,46.000000,35.000000
2019-01-17,22,65.000000,38.000000
2019-01-17,23,62.000000,62.000000
2019-01-17,24,45.000000,63.000000
2019-01-18,1,21.000000,44.000000
2019-01-18,2,17.000000,20.000000
2019-01-18,3,20.000000,9.000000
2019-01-18,4,4.000000,6.000000
2019-01-18,5,8.000000,5.000000
2019-01-18,6,8.000000,3.000000
2019-01-18,7,6.000000,4.000000
2019-01-18,8,7.000000,8.000000
2019-01-18,9,15.000000,9.000000
2019-01-18,10,11.000000,10.000000
2019-01-18,11,13.000000,12.000000
2019-01-18,12,10.000000,8.000000
2019-01-18,13,11.000000,7.000000
2019-01-18,14,8.000000,9.000000
2019-01-18,15,14.000000,8.000000
2019-01-18,16,10.000000,7.000000
2019-01-18,17,10.000000,9.000000
2019-01-18,18,9.000000,9.000000
2019-01-18,19,22.000000,14.000000
2019-01-18,20,23.000000,19.000000
2019-01-18,21,73.000000,27.000000
2019-01-18,22,79.000000,35.000000
2019-01-18,23,44.000000,44.000000
2019-01-18,24,44.000000,48.000000
2019-01-19,1,59.000000,33.000000
2019-01-19,2,21.000000,24.000000
2019-01-19,3,30.000000,18.000000
2019-01-19,4,53.000000,16.000000
2019-01-19,5,27.000000,27.000000
2019-01-19,6,38.000000,20.000000
2019-01-19,7,27.000000,28.000000
2019-01-19,8,18.000000,16.000000
2019-01-19,9,15.000000,7.000000
2019-01-19,10,14.000000,8.000000
2019-01-19,11,14.000000,13.000000
2019-01-19,12,10.000000,11.000000
2019-01-19,13,7.000000,7.000000
2019-01-19,14,4.000000,5.000000
2019-01-19,15,4.000000,4.000000
2019-01-19,16,4.000000,4.000000
2019-01-19,17,6.000000,4.000000
2019-01-19,18,5.000000,4.000000
2019-01-19,19,36.000000,6.000000
